,phrase,label,sentiment,subjectivity,language,count
Los Angeles,Los Angeles,LOC,-0.1109375,0.03125,de,32
Berlin,Berlin,LOC,0.05,0.016666666666666666,de,30
Brandenburg,Brandenburg,LOC,0.01666666666666667,0.0,de,18
Südkalifornien,Südkalifornien,LOC,-0.024999999999999998,0.03571428571428571,de,14
Erde,Erde,LOC,-0.14285714285714285,0.14285714285714285,de,14
Deutschland,Deutschland,LOC,0.1,0.14285714285714285,de,14
Australian Open,Australian Open,LOC,0.006060606060606059,0.1515151515151515,de,11
Ibiza,Ibiza,LOC,0.15555555555555556,0.0,de,9
Athen,Athen,LOC,-0.2222222222222222,0.0,de,9
Sachsen,Sachsen,LOC,-0.08333333333333331,0.05555555555555555,de,9
Niedersachsen,Niedersachsen,LOC,-0.21875,0.6875,de,8
Kalifornien,Kalifornien,LOC,0.0,0.0,de,7
USA,USA,LOC,-0.10714285714285712,0.07142857142857142,de,7
Melbourne,Melbourne,LOC,0.06190476190476194,0.09523809523809523,de,7
Ostsee,Ostsee,LOC,0.0,0.0,de,7
NRW,NRW,LOC,0.0,0.3333333333333333,de,6
Hessen,Hessen,LOC,-0.11666666666666665,0.0,de,6
Thüringen,Thüringen,LOC,0.16666666666666666,0.0,de,6
Bangkok,Bangkok,LOC,-0.05833333333333333,0.4166666666666667,de,6
Bayern,Bayern,LOC,0.2333333333333333,0.0,de,6
Pariser,Pariser,LOC,-0.5166666666666666,0.0,de,6
Deutschlands,Deutschlands,LOC,-0.225,0.16666666666666666,de,6
Türkei,Türkei,LOC,0.0,0.2,de,5
Rekordnähe,Rekordnähe,LOC,0.0,0.0,de,5
Magdeburg,Magdeburg,LOC,-0.2,0.0,de,5
Sachsen-Anhalt,Sachsen-Anhalt,LOC,0.12,0.16666666666666666,de,5
Europa,Europa,LOC,-0.5,0.0,de,4
Rheinland-Pfalz,Rheinland-Pfalz,LOC,0.0,0.0,de,4
Saarland,Saarland,LOC,0.0,0.0,de,4
Island,Island,LOC,0.175,0.0,de,4
Harz,Harz,LOC,0.037500000000000006,0.5,de,4
Sonnenschein,Sonnenschein,LOC,-0.125,0.375,de,4
Großraum Los Angeles,Großraum Los Angeles,LOC,0.25,0.0,de,4
Nasa,Nasa,LOC,0.25,0.0,de,4
Lübeck,Lübeck,LOC,-0.5,0.0,de,4
Formentera,Formentera,LOC,0.0,0.0,de,4
Australien,Australien,LOC,0.1333333333333333,0.0,de,3
Westküste,Westküste,LOC,-0.2333333333333333,0.0,de,3
Baden-Württemberg,Baden-Württemberg,LOC,-0.2333333333333333,0.0,de,3
Balkonkraftwerke,Balkonkraftwerke,LOC,-0.05833333333333331,0.0,de,3
China,China,LOC,0.05000000000000001,0.0,de,3
US-Präsident,US-Präsident,LOC,-0.7999999999999999,0.0,de,3
Philippinen,Philippinen,LOC,-0.3333333333333333,0.0,de,3
Griechen,Griechen,LOC,0.2333333333333333,0.4444444444444444,de,3
Erzbischöfliche Palais,Erzbischöfliche Palais,LOC,0.5666666666666667,0.0,de,3
Milliardenhöhe,Milliardenhöhe,LOC,0.2333333333333333,0.0,de,3
Winterfrische,Winterfrische,LOC,0.6999999999999998,0.0,de,3
Monaco,Monaco,LOC,0.0,0.0,de,3
Brandenburgs,Brandenburgs,LOC,0.0,0.0,de,3
Europas,Europas,LOC,0.0,0.0,de,3
Dänemark,Dänemark,LOC,-0.2833333333333333,0.0,de,3
Rocky Mountains,Rocky Mountains,LOC,0.2333333333333333,0.0,de,3
Mosambik,Mosambik,LOC,-0.6666666666666666,0.0,de,3
Schattenflotte,Schattenflotte,LOC,-0.6666666666666666,0.0,de,3
Südpolarmeer,Südpolarmeer,LOC,0.07500000000000001,0.5,de,2
Königreich,Königreich,LOC,0.0,0.0,de,2
Divisionstitel,Divisionstitel,LOC,0.7,0.0,de,2
Stadt,Stadt,LOC,0.0,0.0,de,2
Rügen,Rügen,LOC,-1.0,0.0,de,2
Chinas,Chinas,LOC,0.0,0.0,de,2
Gardasee,Gardasee,LOC,0.0,0.0,de,2
Südbrasilien,Südbrasilien,LOC,-0.35,0.0,de,2
Dänen,Dänen,LOC,-0.425,0.0,de,2
Linzer Hauptplatz,Linzer Hauptplatz,LOC,0.0,0.0,de,2
Haus am Ring,Haus am Ring,LOC,-0.35,0.0,de,2
Hollywood,Hollywood,LOC,-0.35,0.0,de,2
Sant Antoni,Sant Antoni,LOC,0.35,0.0,de,2
Heerstraße,Heerstraße,LOC,0.09999999999999998,0.25,de,2
Berlin-Spandau,Berlin-Spandau,LOC,-0.25,0.25,de,2
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,-0.7,0.0,de,2
sin…,sin…,LOC,0.0,0.0,de,2
Bezirk,Bezirk,LOC,0.0,0.0,de,2
Prag,Prag,LOC,0.5,0.0,de,2
Pityusen,Pityusen,LOC,-1.0,0.0,de,2
Opernzwillinge,Opernzwillinge,LOC,-0.35,0.0,de,2
