,phrase,label,sentiment,subjectivity,language,count
deutsche,deutsche,MISC,,,de,26
DWD,DWD,MISC,0.08333333333333336,0.08333333333333333,de,16
Lesen Sie jetzt „,Lesen Sie jetzt „,MISC,,,de,16
Bundestagswahl,Bundestagswahl,MISC,,,de,15
deutschen,deutschen,MISC,,,de,14
Das Jahr 2024,Das Jahr 2024,MISC,,,de,14
Weihnachten,Weihnachten,MISC,,,de,14
Zeit,Zeit,MISC,,,de,12
Lesen Sie jetzt „Sonne,Lesen Sie jetzt „Sonne,MISC,,,de,9
CES,CES,MISC,,,de,9
Parker Solar Probe,Parker Solar Probe,MISC,,,de,9
Gewitter im Jahr 2024,Gewitter im Jahr 2024,MISC,,,de,8
Berliner,Berliner,MISC,,,de,7
Hamburger,Hamburger,MISC,,,de,7
Weniger Blitze,Weniger Blitze,MISC,,,de,7
deutscher,deutscher,MISC,,,de,6
Wechselhaftes Wetter,Wechselhaftes Wetter,MISC,,,de,6
Google,Google,MISC,,,de,6
Ahoi Piraten!,Ahoi Piraten!,MISC,,,de,5
Switch 2,Switch 2,MISC,,,de,5
Klub-WM,Klub-WM,MISC,,,de,5
Trumps,Trumps,MISC,,,de,5
römisches,römisches,MISC,,,de,5
römische,römische,MISC,,,de,5
Schweizer,Schweizer,MISC,,,de,5
Copernicus,Copernicus,MISC,,,de,4
Mehr</li><li,Mehr</li><li,MISC,,,de,4
Ahoi Piraten,Ahoi Piraten,MISC,,,de,4
russische,russische,MISC,,,de,4
Steam,Steam,MISC,,,de,4
KI,KI,MISC,,,de,4
Nachrichtentag,Nachrichtentag,MISC,,,de,4
Wiener,Wiener,MISC,,,de,4
IbizaHEUTE,IbizaHEUTE,MISC,,,de,4
Europameisterschaft,Europameisterschaft,MISC,,,de,4
Krieg,Krieg,MISC,,,de,4
E-Mail</li><li,E-Mail</li><li,MISC,,,de,4
"FAZ+ Beiträgen12,80","FAZ+ Beiträgen12,80",MISC,,,de,4
Tages,Tages,MISC,,,de,4
Di…,Di…,MISC,,,de,4
Deutschem Wetterdienst,Deutschem Wetterdienst,MISC,,,de,3
ATP-Turniers,ATP-Turniers,MISC,,,de,3
The German,The German,MISC,,,de,3
Vendée Globe,Vendée Globe,MISC,,,de,3
Schatten der Nacht,Schatten der Nacht,MISC,,,de,3
brasilianischen,brasilianischen,MISC,,,de,3
Sonnencreme,Sonnencreme,MISC,0.7,0.0,de,3
Amazon Frühlingsangebote,Amazon Frühlingsangebote,MISC,,,de,3
ChatGPT,ChatGPT,MISC,,,de,3
Rainbow Six,Rainbow Six,MISC,,,de,3
US-amerikanischen,US-amerikanischen,MISC,,,de,3
Prime Video,Prime Video,MISC,,,de,3
Pariser Klimaabkommens,Pariser Klimaabkommens,MISC,,,de,3
Lesen Sie jetzt „Klimaklage,Lesen Sie jetzt „Klimaklage,MISC,,,de,3
A…,A…,MISC,0.0,0.0,de,3
Münchner Sicherheitskonferenz,Münchner Sicherheitskonferenz,MISC,,,de,3
Münchener,Münchener,MISC,,,de,3
Bundestagswahl 2025,Bundestagswahl 2025,MISC,,,de,3
Tatort,Tatort,MISC,,,de,3
Hitzerekord im Jahr 2023,Hitzerekord im Jahr 2023,MISC,,,de,3
Viertelmilliarde,Viertelmilliarde,MISC,,,de,3
Frost,Frost,MISC,,,de,3
australischen,australischen,MISC,,,de,3
Tag,Tag,MISC,,,de,3
Nasa-Analyse,Nasa-Analyse,MISC,,,de,3
Googles,Googles,MISC,,,de,3
Ukraine-Krieg,Ukraine-Krieg,MISC,,,de,3
Lesen Sie jetzt „Nebel und Sonne,Lesen Sie jetzt „Nebel und Sonne,MISC,,,de,3
Touch Nature,Touch Nature,MISC,,,de,2
Mehr Weltraumschrott:,Mehr Weltraumschrott:,MISC,,,de,2
Strandatmosphäre,Strandatmosphäre,MISC,,,de,2
SSD EX400U,SSD EX400U,MISC,,,de,2
USB4,USB4,MISC,,,de,2
deutschsprachigen,deutschsprachigen,MISC,,,de,2
Schatten auf dem Mond,Schatten auf dem Mond,MISC,,,de,2
Jahr 1980,Jahr 1980,MISC,,,de,2
RTL+,RTL+,MISC,,,de,2
Deutsch,Deutsch,MISC,,,de,2
Nasa,Nasa,MISC,0.0,0.0,de,2
Sinners knifflige Mission,Sinners knifflige Mission,MISC,,,de,2
Rekordhoch,Rekordhoch,MISC,,,de,2
Frost und Sonne,Frost und Sonne,MISC,,,de,2
Spiele,Spiele,MISC,,,de,2
Australian Open,Australian Open,MISC,0.0,0.0,de,2
