,phrase,label,sentiment,subjectivity,language,count
Detroit Lions,Detroit Lions,ORG,0.7,0.0,de,2
Sat.1,Sat.1,ORG,0.35,0.0,de,2
Wiener Philharmoniker,Wiener Philharmoniker,ORG,0.0,0.0,de,2
Parker Solar Probe,Parker Solar Probe,ORG,0.0,0.0,de,2
Lions,Lions,ORG,0.7,0.0,de,1
Nasa-Sonde,Nasa-Sonde,ORG,0.0,0.0,de,1
RTL,RTL,ORG,-0.7,0.0,de,1
DPA,DPA,ORG,0.0,0.0,de,1
Schalke Kees van ... Anschlag,Schalke Kees van ... Anschlag,ORG,0.0,0.0,de,1
Assads,Assads,ORG,0.0,0.0,de,1
Shutterstock.com,Shutterstock.com,ORG,-1.0,0.0,de,1
Partei,Partei,ORG,0.0,0.0,de,1
Musk,Musk,ORG,0.0,0.0,de,1
ProSieben,ProSieben,ORG,0.7,0.0,de,1
TV,TV,ORG,0.7,0.0,de,1
Kino-Auswertung,Kino-Auswertung,ORG,0.7,0.0,de,1
ProSiebenSat.1,ProSiebenSat.1,ORG,0.0,0.0,de,1
DFK – Verband für Fach- und Führungskräfte,DFK – Verband für Fach- und Führungskräfte,ORG,0.7,0.0,de,1
