,phrase,label,sentiment,subjectivity,language,count
Donald Trump,Donald Trump,PER,0.030000000000000006,0.0,de,10
Jannik Sinner,Jannik Sinner,PER,0.2875,0.0,de,8
Alexander Zverev,Alexander Zverev,PER,0.39375,0.0,de,8
Munich Re,Munich Re,PER,0.0,0.0,de,7
Luisa Neubauer,Luisa Neubauer,PER,0.54,0.0,de,5
Jen Osborne,Jen Osborne,PER,0.0,0.0,de,3
Tennis-Ass Alexander Zverev,Tennis-Ass Alexander Zverev,PER,0.0,0.0,de,3
Tim Pütz,Tim Pütz,PER,-0.2222222222222222,0.1111111111111111,de,3
Justin Bieber,Justin Bieber,PER,-0.4222222222222222,0.0,de,3
Paul Achs,Paul Achs,PER,-0.5833333333333333,0.0,de,3
Boris Herrmann,Boris Herrmann,PER,-0.2333333333333333,0.0,de,3
Rüdiger Eichhorn,Rüdiger Eichhorn,PER,0.0,0.0,de,3
Manuel Neuer,Manuel Neuer,PER,-0.05833333333333333,0.0,de,3
Constanze Geiger,Constanze Geiger,PER,0.0,0.0,de,3
René Maric,René Maric,PER,0.0,0.0,de,3
Franziska Preuß,Franziska Preuß,PER,0.0,0.3333333333333333,de,3
BND-Präsident Kahl,BND-Präsident Kahl,PER,0.0,0.0,de,3
Marc Terenzi,Marc Terenzi,PER,0.0,0.0,de,3
Tobias Kratzer,Tobias Kratzer,PER,0.9,0.0,de,3
Richard Strauss,Richard Strauss,PER,0.9,0.0,de,3
Carlo Ratti,Carlo Ratti,PER,0.0,0.0,de,2
Patrick Schwarzeneggers,Patrick Schwarzeneggers,PER,-0.35,0.0,de,2
Jonas Kaufmanns,Jonas Kaufmanns,PER,-0.35,0.0,de,2
Anita Henze,Anita Henze,PER,0.0,0.0,de,2
Henry Bernet,Henry Bernet,PER,0.35,0.0,de,2
Jungstar Harris Dickinson,Jungstar Harris Dickinson,PER,-0.7,0.0,de,2
Nicole Kidman,Nicole Kidman,PER,-0.7,0.0,de,2
Giorgia Meloni,Giorgia Meloni,PER,0.7,0.0,de,2
Jonathan Tetelman,Jonathan Tetelman,PER,-0.35,0.0,de,2
Holger Rune,Holger Rune,PER,0.0,0.0,de,2
Toby Romeo,Toby Romeo,PER,0.0,0.0,de,2
Gisele Bündchen,Gisele Bündchen,PER,0.0,0.0,de,2
Timo Lochocki,Timo Lochocki,PER,0.35,0.0,de,2
Christian Klein,Christian Klein,PER,0.5,0.0,de,2
Naguib Sawiris,Naguib Sawiris,PER,0.0,0.0,de,2
Reality-Star Yeliz Koc,Reality-Star Yeliz Koc,PER,-0.7,0.0,de,2
Stoeckels Watchparty,Stoeckels Watchparty,PER,0.0,0.0,de,2
Frank Stella,Frank Stella,PER,0.0,0.0,de,2
Daniel Wilde,Daniel Wilde,PER,0.0,0.0,de,2
Grad Celsius,Grad Celsius,PER,0.0,0.0,de,2
Green Deal,Green Deal,PER,0.7,0.0,de,2
Tabea Soergels,Tabea Soergels,PER,1.0,0.0,de,2
Martin Beckers,Martin Beckers,PER,1.0,0.0,de,2
Hüsni Tahiri,Hüsni Tahiri,PER,0.0,0.0,de,2
Jörg Kachelmann,Jörg Kachelmann,PER,-1.0,0.0,de,2
Tim Rossmann,Tim Rossmann,PER,0.0,0.5,de,2
Nvidias Blackwell-Grafikkarten,Nvidias Blackwell-Grafikkarten,PER,0.35,0.0,de,2
Lionel Baier,Lionel Baier,PER,0.0,0.0,de,2
Felix Neureuther,Felix Neureuther,PER,0.0,0.0,de,2
Jacqueline Seifriedsberger,Jacqueline Seifriedsberger,PER,0.0,0.0,de,2
Robin Wood,Robin Wood,PER,0.0,0.0,de,2
Umweltsenator Kerstan,Umweltsenator Kerstan,PER,0.0,0.0,de,2
Ungebremste Börsenrallye,Ungebremste Börsenrallye,PER,0.0,0.0,de,2
Luca Philipp,Luca Philipp,PER,0.5,0.0,de,2
Vincent Kompanys,Vincent Kompanys,PER,0.35,0.0,de,2
Börsennotierte Konzerne,Börsennotierte Konzerne,PER,0.0,1.0,de,2
Christoph Schönborn,Christoph Schönborn,PER,0.85,0.0,de,2
Volker Wahl,Volker Wahl,PER,0.0,0.0,de,2
Michaela Ronzoni,Michaela Ronzoni,PER,0.0,0.0,de,2
Paul Abrahams,Paul Abrahams,PER,0.0,0.0,de,2
Klimaphysiker Jacob Schewe,Klimaphysiker Jacob Schewe,PER,0.0,0.0,de,2
Philipp Boy,Philipp Boy,PER,0.5249999999999999,0.25,de,2
Robert Habeck,Robert Habeck,PER,-0.35,0.0,de,2
Julian Smaluhn,Julian Smaluhn,PER,0.0,0.0,de,1
Friedrich Merz,Friedrich Merz,PER,0.0,0.0,de,1
Louise Archer von d,Louise Archer von d,PER,0.0,0.0,de,1
Michael Bauchmüller,Michael Bauchmüller,PER,0.0,0.0,de,1
Frank Stellas,Frank Stellas,PER,0.0,0.0,de,1
Kerstin Kratochwill,Kerstin Kratochwill,PER,1.0,0.0,de,1
Toby + Ely,Toby + Ely,PER,0.0,0.0,de,1
Matthias Ratheiser,Matthias Ratheiser,PER,0.7,0.0,de,1
Allianz-Vorstand Sommerfeld,Allianz-Vorstand Sommerfeld,PER,0.0,0.0,de,1
Frank Sommerfeld,Frank Sommerfeld,PER,0.0,0.0,de,1
Michael Schwarzl,Michael Schwarzl,PER,0.0,0.0,de,1
Sawiris junior,Sawiris junior,PER,0.0,0.0,de,1
Mauro Girardi,Mauro Girardi,PER,1.0,0.0,de,1
Omar Marmoushs,Omar Marmoushs,PER,0.0,0.0,de,1
Julian Franzke,Julian Franzke,PER,0.0,0.0,de,1
Wolfgang Schmidt,Wolfgang Schmidt,PER,0.0,0.0,de,1
Oliver Baumann,Oliver Baumann,PER,1.0,0.0,de,1
Philipp Amthor,Philipp Amthor,PER,0.0,1.0,de,1
Matthias Mahlmann,Matthias Mahlmann,PER,0.0,0.0,de,1
Henry Ellis,Henry Ellis,PER,0.0,0.0,de,1
Rezasha A,Rezasha A,PER,0.0,0.0,de,1
Aktivist*in Charlotte,Aktivist*in Charlotte,PER,0.0,1.0,de,1
Vincenzo Levizzani,Vincenzo Levizzani,PER,0.0,0.0,de,1
Ex-Kunstturner Philipp Boy,Ex-Kunstturner Philipp Boy,PER,1.0,0.0,de,1
Bu Yunchaokete,Bu Yunchaokete,PER,0.0,0.0,de,1
Klima-Aktivisten warnen,Klima-Aktivisten warnen,PER,-0.2333333333333333,0.0,de,1
Jennifer Morgan,Jennifer Morgan,PER,0.0,0.0,de,1
Klima-Aktivistin Luisa Ne,Klima-Aktivistin Luisa Ne,PER,0.0,0.0,de,1
Milutin Milanković,Milutin Milanković,PER,0.0,0.0,de,1
Louis Klamroth,Louis Klamroth,PER,0.0,1.0,de,1
László Csáki,László Csáki,PER,0.0,0.0,de,1
Nika Prevc,Nika Prevc,PER,0.0,0.0,de,1
António Guterres,António Guterres,PER,-1.0,0.0,de,1
Team-Kombination der Frauen,Team-Kombination der Frauen,PER,0.0,0.0,de,1
Nichts Halbes,Nichts Halbes,PER,-1.0,0.0,de,1
José Lana,José Lana,PER,0.0,1.0,de,1
Hoffenheims Oliver Baumann,Hoffenheims Oliver Baumann,PER,0.0,0.0,de,1
Femi Kayode,Femi Kayode,PER,0.0,0.0,de,1
Christian Eichner,Christian Eichner,PER,0.7,0.0,de,1
Henning Baum,Henning Baum,PER,0.0,0.0,de,1
Getty Images,Getty Images,PER,1.0,0.0,de,1
Gavin Newsom,Gavin Newsom,PER,0.0,0.0,de,1
Elīna Garanča,Elīna Garanča,PER,0.0,0.0,de,1
Nico Bauer,Nico Bauer,PER,0.0,0.0,de,1
Jule Niemeier,Jule Niemeier,PER,0.0,0.0,de,1
Julia Wäschenbach,Julia Wäschenbach,PER,0.0,0.0,de,1
Sigrid Stagl,Sigrid Stagl,PER,0.0,0.0,de,1
Klimaökonomin Stagl,Klimaökonomin Stagl,PER,0.0,0.0,de,1
Larry Fink,Larry Fink,PER,0.7,0.0,de,1
Jens Eberl,Jens Eberl,PER,0.0,0.0,de,1
Carlo Buontempo,Carlo Buontempo,PER,0.0,0.0,de,1
Taylan Kurt,Taylan Kurt,PER,0.0,0.0,de,1
Linda Yaccarino,Linda Yaccarino,PER,0.0,0.0,de,1
X-Chefin Yaccarino,X-Chefin Yaccarino,PER,0.0,0.0,de,1
Kai-Uwe Nerding,Kai-Uwe Nerding,PER,-0.7,0.0,de,1
Habecks Schattenboxen,Habecks Schattenboxen,PER,0.0,0.0,de,1
Ludwigs XV,Ludwigs XV,PER,-0.7,0.0,de,1
Marie Leszczynska,Marie Leszczynska,PER,-0.7,0.0,de,1
Oliver Heer,Oliver Heer,PER,0.0,0.0,de,1
Boris Hermann,Boris Hermann,PER,0.7,0.0,de,1
Stefanie Haas,Stefanie Haas,PER,1.0,0.0,de,1
Wladimir Putin,Wladimir Putin,PER,0.0,0.0,de,1
